dataset,train/test_type,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
normal_d=1764,Holdout: 70/30,0.31,0.2866666666666667,0.28,0.3,0.29,0.28,0.2833333333333333,0.27666666666666667,0.25,0.28,0.29,0.24666666666666667,0.26,0.2633333333333333,0.27666666666666667,0.2733333333333333,0.2733333333333333,0.2733333333333333,0.28,0.26,0.25666666666666665
normal_d=1764,Holdout: 80/20,0.275,0.325,0.28,0.325,0.3,0.275,0.265,0.295,0.285,0.255,0.285,0.24,0.215,0.265,0.29,0.255,0.295,0.255,0.265,0.265,0.295
normal_d=1764,Holdout: 90/10,0.36,0.33,0.31,0.27,0.31,0.33,0.37,0.38,0.29,0.34,0.32,0.35,0.35,0.35,0.35,0.37,0.28,0.32,0.36,0.33,0.33
normal_d=1764,10-fold,0.294,0.31100000000000005,0.29500000000000004,0.29300000000000004,0.29700000000000004,0.30799999999999994,0.31199999999999994,0.30100000000000005,0.298,0.305,0.30900000000000005,0.30000000000000004,0.309,0.306,0.3,0.308,0.315,0.314,0.32,0.30599999999999994,0.3
normal_d=900,Holdout: 70/30,0.31,0.27,0.2866666666666667,0.30333333333333334,0.30333333333333334,0.32666666666666666,0.3233333333333333,0.30666666666666664,0.31,0.2966666666666667,0.31666666666666665,0.29333333333333333,0.2866666666666667,0.3233333333333333,0.3233333333333333,0.32666666666666666,0.3433333333333333,0.31666666666666665,0.2833333333333333,0.30333333333333334,0.30666666666666664
normal_d=900,Holdout: 80/20,0.36,0.365,0.365,0.335,0.335,0.325,0.325,0.335,0.335,0.35,0.33,0.345,0.335,0.335,0.35,0.345,0.34,0.345,0.355,0.33,0.33
normal_d=900,Holdout: 90/10,0.28,0.32,0.35,0.34,0.3,0.3,0.31,0.32,0.3,0.27,0.22,0.26,0.3,0.24,0.24,0.27,0.28,0.28,0.29,0.23,0.24
normal_d=900,10-fold,0.319,0.35100000000000003,0.36700000000000005,0.352,0.358,0.347,0.36299999999999993,0.371,0.352,0.365,0.33499999999999996,0.351,0.355,0.33899999999999997,0.346,0.346,0.352,0.33399999999999996,0.346,0.348,0.33999999999999997
normal_d=459,Holdout: 70/30,0.31666666666666665,0.2966666666666667,0.32666666666666666,0.2966666666666667,0.30666666666666664,0.30666666666666664,0.2833333333333333,0.27,0.29,0.30333333333333334,0.2866666666666667,0.2633333333333333,0.28,0.28,0.27666666666666667,0.29,0.2733333333333333,0.2733333333333333,0.29,0.29,0.27666666666666667
normal_d=459,Holdout: 80/20,0.31,0.31,0.26,0.31,0.275,0.285,0.27,0.285,0.25,0.255,0.245,0.29,0.285,0.29,0.275,0.26,0.235,0.275,0.265,0.28,0.26
normal_d=459,Holdout: 90/10,0.33,0.3,0.27,0.26,0.29,0.28,0.32,0.27,0.3,0.27,0.26,0.28,0.29,0.3,0.3,0.31,0.27,0.3,0.26,0.32,0.27
normal_d=459,10-fold,0.37999999999999995,0.357,0.34700000000000003,0.33299999999999996,0.33999999999999997,0.318,0.31700000000000006,0.321,0.32199999999999995,0.31499999999999995,0.32399999999999995,0.32899999999999996,0.32199999999999995,0.32599999999999996,0.31,0.33099999999999996,0.33199999999999996,0.30900000000000005,0.312,0.32100000000000006,0.32
normal_d=540,Holdout: 70/30,0.29333333333333333,0.31,0.3,0.27,0.2833333333333333,0.25666666666666665,0.27,0.26,0.27,0.28,0.24666666666666667,0.28,0.24666666666666667,0.25333333333333335,0.24333333333333335,0.24666666666666667,0.26,0.27666666666666667,0.25666666666666665,0.26666666666666666,0.2633333333333333
normal_d=540,Holdout: 80/20,0.27,0.285,0.3,0.29,0.285,0.275,0.315,0.335,0.34,0.33,0.295,0.31,0.335,0.33,0.305,0.31,0.315,0.3,0.33,0.28,0.3
normal_d=540,Holdout: 90/10,0.33,0.35,0.3,0.29,0.32,0.27,0.28,0.31,0.31,0.34,0.27,0.31,0.28,0.37,0.32,0.36,0.34,0.3,0.34,0.34,0.36
normal_d=540,10-fold,0.28600000000000003,0.314,0.32299999999999995,0.304,0.30900000000000005,0.318,0.31,0.31800000000000006,0.311,0.311,0.316,0.321,0.301,0.307,0.308,0.30300000000000005,0.31500000000000006,0.308,0.32499999999999996,0.31,0.309
